county_name,county,year,age_group,numerator,rate,total_pop,pop_density,housing_density
San Diego,06073,2016,Under 18,4085,51,3095313,735.8,276.9
San Francisco,06075,2016,Under 18,930,67.7,805235,17179.2,8041.8
San Joaquin,06077,2016,Under 18,1587,80.1,685306,492.6,168
San Luis Obispo,06079,2016,Under 18,268,54.3,269637,81.7,35.6
San Mateo,06081,2016,Under 18,782,48.2,718451,1602.2,604.4
Santa Barbara,06083,2016,Under 18,685,67.8,423895,155,55.9
Santa Clara,06085,2016,Under 18,1676,37.4,1781642,1381,489.8
Santa Cruz,06087,2016,Under 18,332,56,262382,589.4,234.7
Shasta,06089,2016,Under 18,255,68.5,177223,46.9,20.5
Siskiyou,06093,2016,Under 18,29,33.2,44900,7.2,3.8
Solano,06095,2016,Under 18,1079,108.9,413344,503,185.8
Sonoma,06097,2016,Under 18,535,55.1,483878,307.1,129.8
Stanislaus,06099,2016,Under 18,1062,73.3,514453,344.2,120.1
Sutter,06101,2016,Under 18,126,50.7,94737,157.3,56.2
Tehama,06103,2016,Under 18,112,72.6,63463,21.5,9.1
Trinity,06105,2016,Under 18,12,56.9,13786,4.3,2.7
Tulare,06107,2016,Under 18,960,66.4,442179,91.7,29.4
Tuolumne,06109,2016,Under 18,52,59.3,55365,24.9,14.1
Ventura,06111,2016,Under 18,1164,58.8,823318,446.7,152.8
Yolo,06113,2016,Under 18,287,59.4,200849,197.9,74
Yuba,06115,2016,Under 18,95,43.7,72155,114.2,43.7
Alameda,06001,2017,Under 18,3179,90.7,1510271,2043.6,788.3
Alpine,06003,2017,Under 18,NA,NA,1175,1.6,2.4
Amador,06005,2017,Under 18,38,71.2,38091,64.1,30.3
Butte,06007,2017,Under 18,226,49.4,220000,134.4,58.6
Calaveras,06009,2017,Under 18,50,70.3,45578,44.7,27.4
Colusa,06011,2017,Under 18,37,61.9,21419,18.6,6.9
Contra Costa,06013,2017,Under 18,2204,89.4,1049025,1465.2,559.1
Del Norte,06015,2017,Under 18,52,88.7,28610,28.4,11.1
El Dorado,06017,2017,Under 18,163,46.9,181058,106,51.6
Fresno,06019,2017,Under 18,4371,153.9,930450,156.2,53
Glenn,06021,2017,Under 18,27,36.2,28122,21.4,8.2
Humboldt,06023,2017,Under 18,173,61.7,134623,37.7,17.3
Imperial,06025,2017,Under 18,691,126.8,174528,41.8,13.4
Inyo,06027,2017,Under 18,32,78.4,18546,1.8,0.9
Kern,06029,2017,Under 18,2219,86.4,839631,103.3,35
Kings,06031,2017,Under 18,506,109.7,152982,110.1,31.6
Lake,06033,2017,Under 18,112,82.2,64665,51.5,28.2
Lassen,06035,2017,Under 18,35,63.7,34895,7.7,2.8
Los Angeles,06037,2017,Under 18,19061,82.5,9818605,2419.6,849
Madera,06039,2017,Under 18,562,132.6,150865,70.6,23
Marin,06041,2017,Under 18,165,32.7,252409,485.1,213.7
Mariposa,06043,2017,Under 18,14,50.9,18251,12.6,7
Mendocino,06045,2017,Under 18,192,100,87841,25.1,11.5
Merced,06047,2017,Under 18,894,112.3,255793,132.2,43.3
Modoc,06049,2017,Under 18,19,105.3,9686,2.5,1.3
Monterey,06053,2017,Under 18,747,64.3,415057,126.5,42.4
Napa,06055,2017,Under 18,152,52.5,136484,182.4,73.2
Nevada,06057,2017,Under 18,80,50.3,98764,103.1,54.9
Orange,06059,2017,Under 18,3828,53.1,3010232,3807.7,1326.8
Placer,06061,2017,Under 18,372,50.1,348432,247.6,108.5
Plumas,06063,2017,Under 18,29,96.8,20007,7.8,6.1
Riverside,06065,2017,Under 18,3931,66.1,2189641,303.8,111.1
Sacramento,06067,2017,Under 18,3169,87.6,1418788,1470.8,576.3
San Benito,06069,2017,Under 18,138,97.2,55269,39.8,12.9
San Bernardino,06071,2017,Under 18,4519,78.2,2035210,101.5,34.9
San Diego,06073,2017,Under 18,4291,52.9,3095313,735.8,276.9
San Francisco,06075,2017,Under 18,1049,75.3,805235,17179.2,8041.8
San Joaquin,06077,2017,Under 18,1692,85.3,685306,492.6,168
San Luis Obispo,06079,2017,Under 18,270,53.7,269637,81.7,35.6
San Mateo,06081,2017,Under 18,752,46.1,718451,1602.2,604.4
Santa Barbara,06083,2017,Under 18,574,55.9,423895,155,55.9
Santa Clara,06085,2017,Under 18,1834,40.8,1781642,1381,489.8
Santa Cruz,06087,2017,Under 18,290,48.3,262382,589.4,234.7
Shasta,06089,2017,Under 18,229,61.2,177223,46.9,20.5
Sierra,06091,2017,Under 18,NA,NA,3240,3.4,2.4
Siskiyou,06093,2017,Under 18,45,52.5,44900,7.2,3.8
Solano,06095,2017,Under 18,1199,120.6,413344,503,185.8
Sonoma,06097,2017,Under 18,561,58,483878,307.1,129.8
Stanislaus,06099,2017,Under 18,1121,77.1,514453,344.2,120.1
Sutter,06101,2017,Under 18,118,47.5,94737,157.3,56.2
Tehama,06103,2017,Under 18,139,91.1,63463,21.5,9.1
Tulare,06107,2017,Under 18,1054,73.4,442179,91.7,29.4
Tuolumne,06109,2017,Under 18,62,71.4,55365,24.9,14.1
Ventura,06111,2017,Under 18,1080,54.9,823318,446.7,152.8
Yolo,06113,2017,Under 18,294,58.8,200849,197.9,74
Yuba,06115,2017,Under 18,121,56,72155,114.2,43.7
Alameda,06001,2018,Under 18,2552,72.6,1510271,2043.6,788.3
Amador,06005,2018,Under 18,34,60.9,38091,64.1,30.3
Butte,06007,2018,Under 18,201,44,220000,134.4,58.6
Calaveras,06009,2018,Under 18,50,70.6,45578,44.7,27.4
Colusa,06011,2018,Under 18,50,84.3,21419,18.6,6.9
Contra Costa,06013,2018,Under 18,1924,77.9,1049025,1465.2,559.1
Del Norte,06015,2018,Under 18,46,79.7,28610,28.4,11.1
El Dorado,06017,2018,Under 18,131,38.1,181058,106,51.6
Fresno,06019,2018,Under 18,3687,129.6,930450,156.2,53
Glenn,06021,2018,Under 18,31,41.7,28122,21.4,8.2
Humboldt,06023,2018,Under 18,138,48.4,134623,37.7,17.3
Imperial,06025,2018,Under 18,597,108.5,174528,41.8,13.4
Inyo,06027,2018,Under 18,25,64.8,18546,1.8,0.9
Kern,06029,2018,Under 18,1909,74.3,839631,103.3,35
Kings,06031,2018,Under 18,368,79.8,152982,110.1,31.6
Lake,06033,2018,Under 18,113,82.8,64665,51.5,28.2
Lassen,06035,2018,Under 18,24,44.6,34895,7.7,2.8
Los Angeles,06037,2018,Under 18,17797,77.5,9818605,2419.6,849
Madera,06039,2018,Under 18,486,115.5,150865,70.6,23
Marin,06041,2018,Under 18,168,34.3,252409,485.1,213.7
Mariposa,06043,2018,Under 18,12,44.9,18251,12.6,7
Mendocino,06045,2018,Under 18,153,79.8,87841,25.1,11.5
Merced,06047,2018,Under 18,676,84.8,255793,132.2,43.3
Modoc,06049,2018,Under 18,33,186,9686,2.5,1.3
Mono,06051,2018,Under 18,18,64.9,14202,4.7,4.6
Monterey,06053,2018,Under 18,570,49,415057,126.5,42.4
Napa,06055,2018,Under 18,157,54.9,136484,182.4,73.2
Nevada,06057,2018,Under 18,51,32.6,98764,103.1,54.9
Orange,06059,2018,Under 18,3107,43.4,3010232,3807.7,1326.8
Placer,06061,2018,Under 18,309,41.9,348432,247.6,108.5
Plumas,06063,2018,Under 18,30,97,20007,7.8,6.1
