Location ID,Location,avg_temp,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-075,San Francisco County,61.6,89,0.7,60.9,2018
CA-077,San Joaquin County,75.2,116,2.1,73.1,2018
CA-079,San Luis Obispo County,72.2,125,3.5,68.7,2018
CA-081,San Mateo County,63.2,106,1.8,61.4,2018
CA-083,Santa Barbara County,69.5,123,4,65.5,2018
CA-085,Santa Clara County,69.8,119,2.8,67,2018
CA-087,Santa Cruz County,64.9,114,2.3,62.6,2018
CA-089,Shasta County,71.8,120,2.9,68.9,2018
CA-091,Sierra County,63.6,124,3.2,60.4,2018
CA-093,Siskiyou County,65.3,120,3.1,62.2,2018
CA-095,Solano County,72.1,103,1.4,70.7,2018
CA-097,Sonoma County,66.2,112,1.7,64.5,2018
CA-099,Stanislaus County,75.6,118,2.3,73.3,2018
CA-101,Sutter County,76.9,111,1.7,75.2,2018
CA-103,Tehama County,74.8,119,2.2,72.6,2018
CA-105,Trinity County,68.4,120,2.7,65.7,2018
CA-107,Tulare County,71.1,125,3.4,67.7,2018
CA-109,Tuolumne County,66.4,124,3,63.4,2018
CA-111,Ventura County,70.3,123,4,66.3,2018
CA-113,Yolo County,74.8,97,1,73.8,2018
CA-115,Yuba County,76,121,2.7,73.3,2018
