OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
13185,1987,CA,USF,BDF, ,00000000,,,14,,,74.199379,,1,00000000,{3D248DFC-DE30-4822-AF91-B604D368DF04},2429.2464845525,439538.366404763
13186,1987,CA,CDF,BDU,BORDEN,00002560,1987/09/03 00:00:00,,14,,,492.02228,,1,00000501,{83907E9E-D9E6-4981-8EDF-F34C8343E391},6215.27570225254,2940660.78388916
13187,1987,CA,CDF,SLU,PILITAS BLM-1836,00001836,1987/08/04 00:00:00,,9,,,1223.8108,,1,00000318,{13E8BA0E-57C3-4ED0-AF72-1A871A9FD116},13332.9059642855,7463559.75925603
13188,1987,CA,CDF,SLU,SLU 1848,00001848,1987/08/05 00:00:00,,2,,,662.30511,,1,00000321,{4918118C-6C59-4435-BEF0-004EFE2DB6C2},9458.84226185217,4071076.12455536
13189,1987,CA,CDF,SLU,SLU-0864,00000864,1987/05/05 00:00:00,,14,,,3552.1035,,1,00000139,{B1FB307A-5F9E-4AE9-81CE-E1D7529FE46C},25014.7937245252,21493356.1491952
13190,1987,CA,CDF,SLU,SLU-1690,00001690,1987/07/23 00:00:00,,8,,,231.10614,,1,00000282,{C0DB608E-4224-4411-A92F-04155B20EE1C},7057.57266667149,1410371.43126084
13191,1987,CA,CDF,SLU,SLU-730,00000730,1987/04/19 00:00:00,,14,,,7733.1978,,1,00000109,{EF0EAD5E-097F-4556-BC34-29520F679F55},40624.588388886,46769353.3165957
13192,1987,CA,CDF,SLU,SLU-966,00000966,1987/05/14 00:00:00,,2,,,805.9953,,1,00000152,{F47EEE5E-4D4B-468A-B0D9-F36D2EC48DF3},9668.46061135289,4961808.82975108
13193,1987,CA,USF,LPF, ,00000000,1987/09/03 00:00:00,1987/09/03 00:00:00,9,,750,1105.5894,8,1,00000106,{B6F351E7-0BCD-4EFE-9DE2-FC2CD22FB2E3},12259.5353827163,6865980.70371364
13194,1987,CA,CDF,BEU,ALEXANDER,00001197,1987/07/23 00:00:00,,2,,,248.82832,,1,00000262,{4CB622D0-A9B9-4A8B-97C3-85B0FA32356A},5922.32835552218,1538902.84901141
13195,1987,CA,CDF,FKU,FKU 5788,00005788,1987/06/22 00:00:00,,5,,,938.57739,,1,00011023,{4BE5A7A9-DDB1-42A1-B057-7B16EEF573F1},18402.5288502286,5828488.85098664
13196,1987,CA,CDF,FKU,NUNEZ,00004515,1987/05/19 00:00:00,,3,,,1479.2192,,1,00000075,{BE6B2B98-AA20-4F92-AD23-BD784AF84301},18813.8790092041,9219155.78806345
13197,1987,CA,CDF,FKU,RED MOUNTAIN,00008777,1987/08/31 00:00:00,,14,,,4454.4507,,1,00000161,{7948F11F-22C3-481F-BAB5-7F19BEC9F85A},27366.9163721038,28203937.6664413
13198,1987,CA,CDF,MVU,PALOMAR,00003324,1987/10/03 00:00:00,1987/10/24 00:00:00,5,Local Number 113,16100,15581.67,8,1,00000955,{435D2561-A0C3-4452-A836-A3D52FDCE694},55540.9577616073,90587031.8222833
13199,1987,CA,USF,CNF,SILVERADO,00000000,1987/09/09 00:00:00,1987/09/13 00:00:00,7,,7700,7693.3843,8,1,00000100,{F9F7B47F-F18E-430A-B097-E5DFD31D3493},34600.7576484343,45151598.9633381
13200,1987,CA,CDF,RRU, ,00025911,1987/08/20 00:00:00,,8,,,258.5036,,1,00001275,{1352B87D-7449-418A-AAA2-7E480DC917F0},5709.05762428695,1512628.37608816
13201,1987,CA,CDF,RRU,RIVERSIDE,00004126,1987/02/07 00:00:00,,8,,,330.19025,,1,00000161,{1E41540C-55B2-4A98-8E70-FBFC624A7D14},7207.75751944123,1933584.05506138
13202,1987,CA,USF,BDF, ,00000000,,,14,,,19.461254,,1,00000000,{8C5E996E-BA47-4222-B608-6D67EFBD3B06},1261.24192333933,113956.978605432
13203,1987,CA,USF,BDF, ,00000000,,,14,,,74.960228,,1,00000000,{74CA35A3-0F1B-4F55-AEF8-EB0C718CE92D},2684.68531877035,438764.558506711
13204,1987,CA,USF,BDF, ,00000000,,,14,,,40.892365,,1,00000000,{F82E9F86-72FA-4034-9FCC-A1F3B03DA767},1792.68353307036,239241.995776096
13205,1987,CA,USF,BDF, ,00000000,,,14,,,292.78839,,1,00000000,{8C4F19F9-DD45-4CFE-B8E7-F7DF2FC54526},5422.84750763361,1732601.82002355
13206,1987,CA,USF,BDF, ,00000000,,,14,,,17.583687,,1,00000000,{F2379F9F-8BE7-426E-A449-6FD851E63526},1238.44958131361,104011.377444408
13207,1987,CA,USF,BDF, ,00000000,,,14,,,184.51346,,1,00000000,{89332216-0AB1-49E4-BDE7-13194E14C36A},4194.64249020724,1098186.80857089
13208,1987,CA,USF,BDF, ,00000000,,,14,,,465.16077,,1,00000000,{A1D69D48-A9AC-402C-90A2-3C6E83AD41D6},6960.10227739358,2767533.43288599
13209,1987,CA,USF,BDF,JEEP,00000000,,,14,,,1867.3888,,1,00000000,{FE7C0740-8F31-4683-BD03-3B73832DAD91},14192.4017476854,11108011.4322053
13210,1987,CA,USF,BDF, ,00000000,,,14,,,62.395035,,1,00000000,{6B048880-0E9F-4867-ADAB-F5448B67B3A6},2352.41649973637,371254.965170762
